time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,Jahr,Monat,MonateAlsWort,SeaTemperature,GeschwInM/S,LuftWasserDiff,WindgeschwInMesshöhe,UmrechnungWindWassermitLuftDiff,InputWindUmrechnung,WindüberWasserFaktor,WindgeschwüberWasser,WindgeschwFertig,Windspannungsfaktor,FetchDimlos,FetchinM,Wellenhöhe,Wellenperiode
2018-02-02 00:00:00,2.5,1.6,94.0,0.1,0.0,210.0,16.6,34.0,994.8,0.0,7.0,2018,2,Februar,2,4.611111111111112,0.5,5.8030784946262015,0.92,4.611111111111112,1.566574482734064,9.090954690984212,8.363678315705476,8.035631663671996,510.4595484475288,3359.94653977057,0.23794231577540054,1.8703161833763475
2018-02-02 01:00:00,2.4,1.7,95.0,0.6,0.0,220.0,15.5,30.0,995.0,0.0,8.0,2018,2,Februar,2,4.305555555555555,0.3999999999999999,5.418537148596753,0.92,4.305555555555555,1.5994738203733685,8.666808313901068,7.973463648788983,7.584238548276476,556.7027765271126,3264.2119390769067,0.2213536246432281,1.817025462566648
2018-02-02 02:00:00,2.9,2.2,95.0,0.6,0.0,220.0,15.8,30.0,995.3,0.0,8.0,2018,2,Februar,2,4.388888888888889,0.8999999999999999,5.52341206115024,0.92,4.388888888888889,1.5902752648135576,8.783745578220095,8.081045931962489,7.708018129970477,543.346999132181,3290.74113803897,0.2258785892607029,1.831792956502473
2018-02-02 03:00:00,2.8,2.1,95.0,0.2,0.0,220.0,16.6,37.0,995.4,0.0,7.0,2018,2,Februar,2,4.611111111111112,0.7999999999999998,5.8030784946262015,0.92,4.611111111111112,1.566574482734064,9.090954690984212,8.363678315705476,8.035631663671996,510.4595484475288,3359.94653977057,0.23794231577540054,1.8703161833763475
2018-02-02 04:00:00,2.8,2.1,95.0,0.0,0.0,220.0,17.6,37.0,995.8,0.0,8.0,2018,2,Februar,2,4.888888888888889,0.7999999999999998,6.152661536471153,0.92,4.888888888888889,1.5385054706332624,9.465903432815722,8.708631158190464,8.44021224039937,474.1997411083581,3443.4916999059556,0.25301039631151717,1.9168216450539166
2018-02-02 05:00:00,2.8,1.9,94.0,0.0,0.0,220.0,15.8,32.0,996.1,0.0,7.0,2018,2,Februar,2,4.388888888888889,0.7999999999999998,5.52341206115024,0.92,4.388888888888889,1.5902752648135576,8.783745578220095,8.081045931962489,7.708018129970477,543.346999132181,3290.74113803897,0.2258785892607029,1.831792956502473
2018-02-02 06:00:00,2.7,1.8,94.0,0.0,0.0,220.0,14.4,31.0,996.4,0.0,8.0,2018,2,Februar,2,4.0,0.7000000000000002,5.033995802567307,0.92,4.0,1.6347959567815606,8.22955598449238,7.57119150573299,7.125959435376103,611.2605183255039,3164.0550396583967,0.20476269623979526,1.7612730666157206
2018-02-02 07:00:00,2.8,1.9,94.0,0.0,0.0,220.0,13.0,28.0,997.0,0.0,7.0,2018,2,Februar,2,3.611111111111111,0.7999999999999998,4.544579543984375,0.92,3.611111111111111,1.6838737759509823,7.652498316838562,7.040298451491477,6.532296926996877,696.4540814788655,3029.3908923497074,0.18366612111650574,1.6863121911819063
2018-02-02 08:00:00,2.6,2.0,96.0,0.2,0.0,220.0,13.0,26.0,997.8,0.0,8.0,2018,2,Februar,2,3.611111111111111,0.6000000000000001,4.544579543984375,0.92,3.611111111111111,1.6838737759509823,7.652498316838562,7.040298451491477,6.532296926996877,696.4540814788655,3029.3908923497074,0.18366612111650574,1.6863121911819063
2018-02-02 09:00:00,2.7,2.1,96.0,0.2,0.0,220.0,11.5,24.0,998.3,0.0,7.0,2018,2,Februar,2,3.194444444444444,0.7000000000000002,4.0202049812169465,0.92,3.194444444444444,1.7427036771978617,7.006026003855933,6.445543923547459,5.882562887546224,814.9697632920916,2874.786826206367,0.1611220135618703,1.600251748403724
2018-02-02 10:00:00,3.3,2.1,92.0,0.0,0.0,210.0,11.5,21.0,998.9,0.0,7.0,2018,2,Februar,2,3.194444444444444,1.2999999999999998,4.0202049812169465,0.92,3.194444444444444,1.7427036771978617,7.006026003855933,6.445543923547459,5.882562887546224,814.9697632920916,2874.786826206367,0.1611220135618703,1.600251748403724
